date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,524535,Let's Try Namkeen Combo,744169,81,90,1,11,0,https://cdn.grofers.com/da/cms-assets/cms/product/46ee6575-38de-49b6-98d4-53d9a158a564.png,,Let's Try
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,19266,Haldiram's Bhujia,1910541,120,120,1,24,0,https://cdn.grofers.com/da/cms-assets/cms/product/405265f1-3c53-4c52-b39d-bdc26a83e6f6.png,,Haldiram's
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,11142,Haldiram's Fatafat Bhelpuri,1914092,40,40,1,14,0,https://cdn.grofers.com/da/cms-assets/cms/product/87af206e-52d3-4f1d-a66c-40fb64803f7f.png,,Haldiram's
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,19274,Haldiram's Bhelpuri / Bhelpuri,1914143,55,55,1,20,0,https://cdn.grofers.com/da/cms-assets/cms/product/acb8bea9-c0b4-4064-a823-502cd11a0785.png,,Haldiram's
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,495431,Let's Try Lite Multigrain Mixture Namkeen,1914594,108,120,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/5f7cfecb-5add-4369-97d5-f155f434b882.png,,Let's Try
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,446887,Bikano All Time Mixture Namkeen,464926,69,70,1,13,0,https://cdn.grofers.com/da/cms-assets/cms/product/e7c73d97-38f8-4c17-984b-55f6f146e275.png,,Bikano
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,17707,Haldiram's Panchratan Mixture Namkeen,1913241,100,100,1,21,0,https://cdn.grofers.com/da/cms-assets/cms/product/409b6928-ca64-4b94-8c87-4f7892eaab99.png,,Haldiram's
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,19295,Haldiram's Moong Dal Namkeen,1911617,120,120,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/544405b7-1b52-4ff5-836b-1b7a943c0378.png,,Haldiram's
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,11187,Haldiram's Kaju Mixture Namkeen,1913638,95,95,1,36,0,https://cdn.grofers.com/da/cms-assets/cms/product/7076c538-3022-490c-8007-db797f809114.png,,Haldiram's
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,37740,55092,Haldiram's Chilli Chatak Lachha Namkeen Snacks,1915495,60,60,1,28,0,https://cdn.grofers.com/da/cms-assets/cms/product/0a31471b-7ce1-4e76-92bd-018c959d2890.png,,Haldiram's
